nof_samples,trace_0
1533,-102.357
1534,-102.476
1535,-102.556
1536,-102.842
1537,-102.997
1538,-102.578
1539,-102.478
1540,-102.297
1541,-102.238
1542,-102.209
1543,-102.155
1544,-102.217
1545,-99.1446
1546,-98.313
1547,-98.3328
1548,-98.0261
1549,-98.0537
1550,-97.9686
1551,-98.0129
1552,-97.9462
1553,-97.7861
1554,-98.3043
1555,-98.609
1556,-98.3393
1557,-98.4297
1558,-98.4315
1559,-98.2486
1560,-98.3208
1561,-98.4486
1562,-98.1798
1563,-102.099
1564,-103.235
1565,-103.366
1566,-103.622
1567,-104.111
1568,-103.746
1569,-103.973
1570,-104.438
1571,-103.903
1572,-104.296
1573,-104.677
1574,-105.073
1575,-104.775
1576,-104.721
1577,-104.812
1578,-104.337
1579,-100.113
1580,-99.2954
1581,-99.0737
1582,-99.1671
1583,-98.1769
1584,-97.9258
1585,-98.1279
1586,-99.0499
1587,-98.7825
1588,-98.571
1589,-98.5823
1590,-98.8056
1591,-98.3706
1592,-97.8342
1593,-98.393
1594,-98.4804
1595,-100.183
1596,-100.695
1597,-100.553
1598,-100.674
1599,-100.65
1600,-100.883
1601,-100.97
1602,-101.055
1603,-100.798
1604,-101.101
1605,-101.135
1606,-101.075
1607,-101.027
1608,-101.175
1609,-101.325
1610,-101.352
1611,-97.3467
1612,-96.5115
1613,-97.1353
1614,-96.9581
1615,-96.4155
1616,-96.7902
1617,-96.6569
1618,-96.3585
1619,-97.1571
1620,-95.6081
1621,-95.676
1622,-96.3021
1623,-96.2913
1624,-96.0904
1625,-96.3348
1626,-95.7881
1627,-97.2812
1628,-96.997
1629,-96.593
1630,-101.707
1631,-102.537
1632,-102.877
1633,-103.318
1634,-103.119
1635,-103.932
1636,-103.361
1637,-103.883
1638,-103.487
1639,-103.528
1640,-103.264
1641,-103.429
1642,-102.975
1643,-102.402
1644,-102.673
1645,-103.972
1646,-104.271
1647,-104.415
1648,-104.768
1649,-104.563
1650,-104.384
1651,-98.5102
1652,-96.2137
1653,-95.7758
1654,-95.5421
1655,-96.0532
1656,-95.1222
1657,-95.4158
1658,-95.4539
1659,-95.4439
1660,-95.7232
1661,-96.2044
1662,-95.8951
1663,-96.701
1664,-96.3722
1665,-96.4908
1666,-96.8133
1667,-96.5325
1668,-97.1727
1669,-96.5909
1670,-99.735
1671,-100.187
1672,-100.348
1673,-100.411
1674,-100.236
1675,-100.178
1676,-100.181
1677,-100.157
1678,-100.32
1679,-100.271
1680,-100.18
1681,-100.218
1682,-100.182
1683,-100.213
1684,-100.299
1685,-100.325
1686,-100.369
1687,-100.305
1688,-102.156
1689,-103.392
1690,-104.583
1691,-104.695
1692,-104.796
1693,-104.319
1694,-104.301
1695,-104.616
1696,-104.99
1697,-105.344
1698,-105.804
1699,-106.084
1700,-105.512
1701,-104.449
1702,-104.639
1703,-103.723
1704,-103.658
1705,-103.587
1706,-103.098
1707,-103.517
1708,-101.266
1709,-100.785
1710,-100.788
1711,-100.737
1712,-100.761
1713,-100.754
1714,-100.754
1715,-100.724
1716,-100.55
1717,-100.561
1718,-100.287
1719,-100.318
1720,-100.183
1721,-100.631
1722,-100.57
1723,-100.737
1724,-100.621
1725,-100.416
1726,-100.543
1727,-101.448
1728,-101.863
1729,-101.994
1730,-101.644
1731,-101.774
1732,-101.501
1733,-101.55
1734,-101.301
1735,-101.809
1736,-101.404
1737,-101.52
1738,-101.325
1739,-101.16
1740,-101.274
1741,-101.248
1742,-101.987
1743,-101.977
1744,-101.827
1745,-101.833
1746,-101.944
1747,-100.152
